Isolate,level 1
SRR7800738,SC5
ERR12861396,SC5
ERR12861475,SC5
ERR12861714,SC5
ERR12861482,SC5
ERR12861703,SC5
SRR13556501,SC5
ERR12861487,SC5
ERR12861436,SC5
SRR13556502,SC5
ERR12861486,SC5
ERR12861585,SC5
ERR12861841,SC5
ERR12861623,SC5
ERR12861677,SC5
ERR12861855,SC5
ERR12861385,SC5
SRR13556498,SC5
ERR12861774,SC5
ERR12861492,SC5
ERR12861652,SC5
ERR12861608,SC5
ERR12861413,SC5
ERR12861715,SC5
ERR12861546,SC5
ERR12861512,SC5
ERR12861509,SC5
ERR12861673,SC5
ERR12861394,SC5
ERR12861500,SC5
ERR12861669,SC5
ERR12861839,SC5
ERR12861678,SC5
ERR12861896,SC5
ERR12861490,SC5
ERR12861422,SC5
ERR12861473,SC5
SRR13556497,SC5
ERR12861621,SC5
ERR12861364,SC5
ERR12861477,SC5
ERR12861370,SC5
ERR12861516,SC5
ERR12861550,SC5
ERR12861830,SC5
ERR12861373,SC5
ERR12861433,SC5
ERR12861386,SC5
ERR12861414,SC5
ERR12861943,SC5
ERR12861540,SC5
ERR12861499,SC5
ERR12861684,SC5
ERR12861505,SC5
ERR12861955,SC5
ERR12861563,SC5
ERR12861494,SC5
ERR12861525,SC5
ERR12861376,SC5
ERR12861658,SC5
ERR12861685,SC5
ERR12861567,SC5
ERR12861681,SC5
ERR12861497,SC5
SRR10112074,SC1
SRR13556499,SC1
ERR12861803,SC1
ERR13148526,SC1
SRR13556496,SC1
ERR12861380,SC1
SRR10120492,SC1
A5,SC1
ERR13148520,SC1
ERR13148536,SC1
ERR13148594,SC1
SRR24927441,SC1
SRR7800567,SC1
SRR7800576,SC1
ERR12861651,SC1
ERR13148610,SC1
ERR13148602,SC1
ERR13148572,SC1
ERR12861519,SC1
SRR10112137,SC1
SRR7800648,SC1
ERR12861802,SC1
SRR13556500,SC1
ERR13148484,SC1
SRR7800447,SC1
ERR12861695,SC1
SRR7800530,SC1
ERR13148541,SC1
ERR12861744,SC1
ERR13148509,SC1
ERR12861698,SC1
ERR13148578,SC1
ERR13148548,SC1
SRR7800651,SC1
DRR286136,MahEA1
DRR286140,MahEA1
DRR286137,MahEA1
DRR286144,MahEA1
DRR286141,MahEA1
DRR286146,MahEA1
OCU462,MahEA1
DRR286151,MahEA1
DRR286156,MahEA1
DRR286155,MahEA1
DRR286133,MahEA1
DRR286148,MahEA1
DRR286132,MahEA1
DRR286142,MahEA1
DRR286147,MahEA1
DRR286129,MahEA1
DRR286149,MahEA1
DRR286153,MahEA1
SRR7800614,MahEA1
DRR286134,MahEA1
DRR286138,MahEA1
DRR286135,MahEA1
DRR286139,MahEA1
DRR286145,MahEA1
DRR286131,MahEA1
DRR286150,MahEA1
ERR13148488,MahEA1
ERR12861770,MahEA1
ERR12861496,MahEA1
DRR286154,MahEA1
DRR286130,MahEA1
DRR286143,MahEA1
DRR286152,MahEA1
ERR12861890,SC2
ERR12861495,SC2
ERR12861533,SC2
ERR12861610,SC2
ERR12861439,SC2
ERR12861835,SC2
ERR12861739,SC2
ERR12861485,SC2
ERR12861691,SC2
ERR12861491,SC2
ERR12861398,SC2
ERR12861537,SC2
ERR12861910,SC2
ERR12861834,SC2
ERR12861799,SC2
ERR12861643,SC2
ERR13148504,SC2
SRR7800733,SC2
ERR12861625,SC2
ERR12861584,SC2
ERR12861555,SC2
ERR12861732,SC2
ERR12861771,SC2
ERR12861459,SC2
ERR12861449,SC2
ERR13148525,SC2
ERR12861692,SC2
SRR7800485,SC2
ERR13148573,SC2
ERR12861614,SC2
ERR12861573,SC2
ERR12861646,SC2
ERR12861513,SC2
ERR12861450,SC2
ERR12861481,SC2
ERR12861415,SC2
ERR12861603,SC2
ERR12861707,SC2
ERR12861566,SC2
ERR12861619,SC2
ERR12861891,SC2
ERR12861427,SC2
ERR12861894,SC2
ERR12861569,SC2
ERR12861854,SC2
ERR12861653,SC2
ERR13148545,SC2
ERR12861403,SC2
ERR12861366,SC2
ERR12861375,SC2
ERR12861417,SC2
ERR12861371,SC2
ERR12861409,SC2
ERR12861390,SC2
ERR12861562,SC2
ERR12861932,SC2
ERR12861377,SC2
ERR12861920,SC2
ERR12861919,SC2
ERR12861382,SC2
ERR12861453,SC2
ERR12861389,SC2
ERR12861914,SC2
ERR12861906,SC2
ERR12861601,SC2
ERR12861412,SC2
ERR12861967,SC2
ERR12861912,SC2
ERR12861869,SC2
SRR7800450,SC2
ERR12861711,SC2
ERR12861717,SC2
ERR12861713,SC2
ERR12861378,SC2
ERR12861557,SC2
ERR12861401,SC2
ERR12861426,SC2
ERR12861458,SC2
ERR12861600,SC2
ERR12861940,SC2
ERR12861892,SC2
ERR12861611,SC2
SRR7800522,SC2
SRR7800632,SC2
ERR12861463,SC2
ERR12861682,SC2
ERR12861484,SC2
SRR7800735,SC2
ERR12861648,SC2
ERR13148591,SC2
ERR12861645,SC2
SRR13556491,SC2
ERR13148569,SC2
ERR12861721,SC2
ERR13148571,SC2
ERR12861907,SC2
ERR12861586,SC2
ERR12861699,SC2
ERR12861462,SC2
ERR12861391,SC2
ERR12861420,SC2
ERR12861579,SC2
ERR12861881,SC2
ERR12861964,SC2
ERR13148585,SC2
ERR12861559,SC2
ERR12861372,SC2
ERR12861551,SC2
SRR13556503,SC2
ERR12861465,SC2
ERR12861797,SC2
ERR12861963,SC2
ERR12861746,SC2
ERR13148531,SC2
ERR12861718,SC2
ERR12861716,SC2
ERR12861829,SC2
ERR12861395,SC2
ERR12861933,SC2
ERR12861456,SC2
ERR12861794,SC2
ERR12861424,SC2
ERR12861826,SC2
ERR12861915,SC2
ERR12861411,SC2
ERR12861701,SC2
ERR12861596,SC2
ERR12861636,SC2
ERR13148557,SC2
ERR12861719,SC2
ERR12861544,SC2
ERR12861607,SC2
ERR12861581,SC2
ERR12861425,SC2
ERR12861689,SC2
ERR12861965,SC2
ERR12861709,SC2
DRR286157,SC2
ERR12861435,SC2
ERR12861741,SC2
ERR12861847,SC2
ERR12861642,SC2
SRR7800615,SC2
ERR12861622,SC2
ERR12861615,SC2
ERR13148516,SC2
SRR13556489,SC2
ERR12861592,SC2
ERR12861628,SC2
ERR12861574,SC2
ERR12861613,SC2
SRR13556512,SC2
ERR12861904,SC2
ERR12861406,SC2
SRR7800472,SC2
SRR7800546,SC2
ERR12861589,SC2
ERR12861686,SC2
ERR12861908,SC2
ERR13148607,SC2
ERR12861800,SC2
ERR12861671,SC2
SRR13556492,SC2
ERR12861748,SC2
ERR12861467,SC2
ERR13148497,SC2
ERR12861706,SC2
ERR12861694,SC2
SRR13556515,SC2
ERR12861520,SC2
ERR12861927,SC2
ERR13148493,SC2
ERR12861518,SC2
ERR12861901,SC2
ERR12861654,SC2
ERR12861724,SC2
ERR12861461,SC2
ERR12861897,SC2
ERR12861640,SC2
SRR7800588,SC2
ERR12861431,SC2
ERR12861564,SC2
SRR7800685,SC2
ERR12861543,SC2
ERR12861723,SC2
ERR12861369,SC2
ERR12861616,SC2
ERR12861468,SC2
ERR12861950,SC2
ERR12861951,SC2
ERR12861374,SC2
ERR12861548,SC2
ERR12861416,SC2
ERR12861720,SC2
ERR13148619,SC2
ERR12861381,SC2
SRR7800606,SC2
ERR12861672,SC2
ERR12861757,SC2
SRR24927440,SC2
ERR12861547,SC2
ERR12861493,SC2
ERR13148582,SC2
ERR12861731,SC2
SRR13556488,SC2
ERR12861882,SC2
SRR7800529,SC3
ERR12861813,SC3
ERR12861819,SC3
ERR12861788,SC3
SRR7800563,SC3
ERR13148507,SC3
SRR10120490,SC3
ERR12861383,SC3
ERR13148552,SC3
ERR12861811,SC3
ERR12861769,SC3
SRR24927433,SC3
ERR12861660,SC3
ERR12861815,SC3
ERR12861823,SC3
ERR12861753,SC3
ERR13148575,SC3
ERR12861929,SC3
SRR7800555,SC3
SRR7800605,SC3
ERR12861804,SC3
ERR12861725,SC3
ERR12861768,SC3
ERR12861775,SC3
SRR10120493,SC3
SRR7800688,SC3
ERR12861959,SC3
SRR7800520,SC3
SRR7800545,SC3
ERR13148532,SC3
SRR24927428,SC3
ERR12861782,SC3
ERR12861670,SC3
SRR7800589,SC3
ERR12861877,SC3
SRR7800571,SC3
SRR7800604,SC3
SRR7800652,SC3
SRR7800663,SC3
ERR12861810,SC3
ERR12861517,SC3
ERR12861816,SC3
ERR12861825,SC3
ERR12861808,SC3
SRR10120487,SC3
ERR12861796,SC3
SRR7800570,SC3
ERR12861791,SC3
SRR7800664,SC3
ERR12861874,SC3
SRR7800616,SC3
ERR13148563,SC3
SRR7800613,SC3
SRR7800569,SC3
SRR7800654,SC3
ERR13148491,SC3
ERR13148519,SC3
ERR12861756,SC3
ERR13148605,SC3
ERR12861879,SC3
SRR24927439,SC3
ERR13148534,SC3
ERR12861710,SC3
ERR12861767,SC3
SRR7800671,SC3
ERR12861734,SC3
SRR7800734,SC3
2495,SC3
SRR7800484,SC3
SRR7800740,SC3
SRR24927425,SC3
SRR7800687,SC3
SRR7800401,SC3
SRR7800469,SC3
SRR7800646,SC3
ERR12861792,SC3
ERR12861657,SC3
SRR10112080,SC3
ERR12861747,SC3
SRR7800525,SC3
ERR13148511,SC3
ERR13148502,SC3
ERR12861758,SC3
SRR7800610,SC3
SRR7800521,SC3
ERR12861639,SC6
ERR12861549,SC6
ERR12861602,SC6
ERR12861554,SC6
ERR12861633,SC6
ERR12861595,SC6
ERR12861478,SC6
ERR12861552,SC6
ERR12861708,SC6
ERR12861553,SC6
ERR12861630,SC6
ERR12861903,SC6
ERR12861441,SC6
ERR12861649,SC6
ERR12861474,SC6
ERR12861624,SC6
ERR12861620,SC6
ERR12861893,SC6
ERR12861674,SC6
ERR12861402,SC6
ERR12861612,SC6
ERR12861605,SC6
ERR12861634,SC6
ERR12861448,SC6
ERR12861784,SC4
ERR12861918,SC4
ERR12861656,SC4
ERR12861446,SC4
ERR12861663,SC4
ERR12861911,SC4
ERR12861514,SC4
SRR13556487,SC4
ERR12861659,SC4
ERR12861556,SC4
ERR13148599,SC4
SRR13556506,SC4
ERR12861870,SC4
ERR12861440,SC4
ERR12861582,SC4
SRR13556493,SC4
ERR12861379,SC4
ERR12861470,SC4
SRR13556504,SC4
ERR12861946,SC4
ERR12861884,SC4
ERR12861862,SC4
ERR13148587,SC4
ERR12861635,SC4
ERR12861561,SC4
ERR12861515,SC4
SRR7800587,SC4
SRR13556513,SC4
ERR12861392,SC4
SRR13556514,SC4
ERR12861777,SC4
ERR12861447,SC4
SRR13556505,SC4
ERR12861535,SC4
ERR13148505,SC4
SRR7800590,SC4
SRR13556508,SC4
ERR12861664,SC4
ERR13148535,SC4
SRR13556507,SC4
ERR12861905,SC4
ERR12861367,SC4
ERR12861790,SC4
ERR12861944,SC4
ERR12861593,SC4
SRR13556494,SC4
SRR13556495,SC4
ERR13148490,SC4
ERR12861510,SC4
SRR7800572,SC4
SRR7800695,SC4
ERR12861503,SC4
ERR12861399,SC4
ERR12861913,SC4
ERR12861442,SC4
SRR13556509,SC4
ERR12861387,SC4
ERR12861934,SC4
SRR13556490,SC4
ERR13148616,SC4
SRR7800684,SC4
ERR12861437,SC4
SRR7800694,SC4
ERR12861444,SC4
SRR13556510,SC4
SRR7800586,SC4
ERR12861939,SC4
ERR12861900,SC4
ERR12861665,SC4
ERR12861438,SC4
SRR7800573,SC4
ERR12861647,SC4
ERR12861902,SC4
ERR12861873,SC4
ERR12861966,SC4
ERR12861778,SC4
ERR13148615,SC4
ERR12861688,SC4
ERR13148547,SC4
ERR12861662,SC4
OCU491,SC4
ERR12861705,SC4
ERR12861764,SC4
ERR12861876,SC4
ERR12861948,SC4
ERR12861885,SC4
ERR12861476,SC4
ERR12861629,SC4
SRR13556511,SC4
ERR12861400,SC4
ERR12861626,SC4
ERR12861956,MahEA2
DRR286159,MahEA2
DRR286208,MahEA2
DRR286221,MahEA2
DRR286171,MahEA2
DRR286232,MahEA2
DRR286231,MahEA2
DRR286189,MahEA2
DRR286186,MahEA2
DRR286178,MahEA2
DRR286192,MahEA2
DRR286224,MahEA2
DRR286236,MahEA2
DRR286181,MahEA2
DRR286212,MahEA2
DRR286169,MahEA2
DRR286161,MahEA2
DRR286193,MahEA2
DRR286180,MahEA2
DRR286218,MahEA2
DRR286234,MahEA2
ERR12861443,MahEA2
DRR286204,MahEA2
DRR286200,MahEA2
DRR286164,MahEA2
DRR286188,MahEA2
OCU464,MahEA2
DRR286226,MahEA2
DRR286163,MahEA2
DRR286187,MahEA2
DRR286222,MahEA2
ERR13148609,MahEA2
DRR286199,MahEA2
DRR286168,MahEA2
DRR286166,MahEA2
DRR286167,MahEA2
DRR286194,MahEA2
DRR286185,MahEA2
DRR286175,MahEA2
DRR286190,MahEA2
DRR286195,MahEA2
DRR286206,MahEA2
DRR286174,MahEA2
DRR286220,MahEA2
DRR286197,MahEA2
DRR286210,MahEA2
DRR286196,MahEA2
DRR286207,MahEA2
DRR286235,MahEA2
DRR286172,MahEA2
DRR286217,MahEA2
DRR286205,MahEA2
DRR286237,MahEA2
DRR286233,MahEA2
DRR286227,MahEA2
DRR286165,MahEA2
DRR286179,MahEA2
DRR286184,MahEA2
SRR7800737,MahEA2
DRR286177,MahEA2
DRR286198,MahEA2
DRR286215,MahEA2
DRR286201,MahEA2
DRR286183,MahEA2
DRR286158,MahEA2
ERR13148533,MahEA2
DRR286211,MahEA2
DRR286202,MahEA2
DRR286229,MahEA2
DRR286170,MahEA2
DRR286223,MahEA2
DRR286216,MahEA2
DRR286160,MahEA2
ERR13148598,MahEA2
ERR12861365,MahEA2
DRR286230,MahEA2
DRR286228,MahEA2
DRR286214,MahEA2
DRR286209,MahEA2
DRR286162,MahEA2
DRR286176,MahEA2
DRR286225,MahEA2
DRR286219,MahEA2
DRR286182,MahEA2
DRR286213,MahEA2
DRR286191,MahEA2
DRR286173,MahEA2
ERR12861938,SC7
ERR13148485,SC7
ERR12861368,SC7
ERR12861779,SC7
ERR13148620,SC7
ERR12861733,SC7
ERR13148617,SC7
ERR12861807,SC7
SRR7800565,SC7
ERR12861805,SC7
ERR12861783,SC7
SRR7800564,SC7
ERR12861696,SC7
ERR12861795,SC7
SRR7800667,SC7
ERR12861949,SC7
SRR7800739,SC7
SRR7800400,SC7
SRR7800523,SC7
ERR12861832,SC7
SRR7800445,SC7
SRR7800566,SC7
ERR13148593,SC7
SRR7800568,SC7
SRR7800612,SC7
SRR7800609,SC7
SRR7800402,SC7
ERR12861750,SC7
SRR7800442,SC7
ERR12861432,SC7
ERR13148621,SC7
SRR7800704,SC7
ERR13148513,SC7
ERR12861846,SC7
SRR7800562,SC7
SRR7800686,SC7
SRR10120005,SC8
SRR10112072,SC8
ERR12861843,SC8
SRR10120001,SC8
SRR10112141,SC8
SRR10098937,SC8
SRR10120486,SC8
SRR10119997,SC8
SRR10120007,SC8
SRR10112071,SC8
ERR12861457,SC8
SRR10112073,SC8
SRR10112075,SC8
SRR10120009,SC8
SRR10112078,SC8
SRR10112140,SC8
SRR10120008,SC8
ERR12861560,SC8
SRR10119999,SC8
SRR10112070,SC8
SRR10112135,SC8
SRR10120489,SC8
SRR10112076,SC8
ERR12861568,SC8
SRR10112134,SC8
ERR12861712,SC8
ERR12861580,SC8
SRR10120000,SC8
SRR10112138,SC8
SRR10112132,SC8
SRR10112077,SC8
SRR10112136,SC8
SRR10120491,SC8
SRR10112079,SC8
SRR10112139,SC8
ERR12861631,SC8
ERR12861572,SC8
SRR10053763,SC8
SRR10112133,SC8
SRR10120006,SC8
ERR12861617,SC8
SRR10120488,SC8
SRR10119998,SC8
